PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20260626;06;2026;8623877;1;3;1;70;;2;1401.9965049;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623879;1;4;1;70;;2;1390.8604123;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623880;1;3;1;70;;2;1641.9600953;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623881;1;2;1;70;;2;1472.4443909;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623881;1;3;1;70;;2;1472.4443909;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623882;1;2;1;70;;2;1992.0084154;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623883;1;1;1;70;;2;1848.0722726;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623885;1;1;1;70;;2;1217.2179825;13;1;;;;;;;;;1;36;0;4;1;10;2;2;;2;;.;1420;47;4762
20260626;06;2026;8623887;1;2;1;70;;2;1446.37312;44;1;;;;;;;;;1;36;2;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623888;1;1;1;70;;2;1696.7426556;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623889;1;1;1;70;;2;711.7024773;44;1;;;;;;;;;1;280;5;4;1;5;2;2;;2;;.;9321;01;0122
20260626;06;2026;8623889;1;2;1;70;;2;711.7024773;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623890;1;1;1;70;;2;2130.2267305;44;1;;;;;;;;;1;240;5;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623890;1;5;1;70;;2;2130.2267305;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623891;1;2;1;70;;2;1120.2723452;44;1;;;;;;;;;1;48;2;3;1;5;2;2;;2;;.;9211;01;0123
20260626;06;2026;8623894;1;2;1;70;;2;719.41639894;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623895;1;1;1;70;;2;1689.0287339;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623895;1;2;1;70;;2;1689.0287339;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623895;1;3;1;70;;2;1689.0287339;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623904;1;2;1;70;;2;1529.1496668;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623904;1;3;1;70;;2;1529.1496668;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623906;1;2;1;70;;2;860.70281744;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623906;1;3;1;70;;2;860.70281744;47;1;;;;;1;;40;1750905;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623907;1;2;1;70;;2;898.08622107;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623907;1;3;1;70;;2;898.08622107;47;;1;25;1;;;;40;1750000;1;9;0;1;1;6;2;2;;2;;5131;9333;55;5511
20260626;06;2026;8623908;1;2;1;70;;2;855.11802743;47;1;;;;;;;;;1;6;2;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623908;1;3;1;70;;2;855.11802743;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623909;1;2;1;70;;2;1347.6466028;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623911;1;2;1;70;;2;622.28732717;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623912;1;2;1;70;;2;665.25552082;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623913;1;1;1;70;;2;1342.0618128;47;1;;;;;1;;44;1750000;1;10;1;1;4;1;2;2;;2;;.;4311;69;6920
20260626;06;2026;8623915;1;1;1;70;;2;2095.4712759;47;;1;8;4;;;;48;1000000;1;12;0;8;4;1;2;2;;2;;9313;7111;41;4111
