PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20260626;06;2026;8623844;1;2;1;50;;2;79.21432941;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;10;;;;;;
20260626;06;2026;8623845;1;1;1;50;;2;83.612948305;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623845;1;2;1;50;;2;83.612948305;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623846;1;1;1;50;;2;257.40293767;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623846;1;2;1;50;;2;257.40293767;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623846;1;4;1;50;;2;257.40293767;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623847;1;1;1;50;;2;507.92371246;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623847;1;2;1;50;;2;507.92371246;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623848;1;1;1;50;;2;698.96654581;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623848;1;2;1;50;;2;698.96654581;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623849;1;1;1;50;;2;507.92371246;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623849;1;2;1;50;;2;507.92371246;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623850;1;1;1;50;;2;728.40981143;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623851;1;1;1;50;;2;445.35869227;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623851;1;2;1;50;;2;445.35869227;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623851;1;3;1;50;;2;445.35869227;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623852;1;1;1;50;;2;587.05927417;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623852;1;2;1;50;;2;587.05927417;08;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623853;1;1;1;50;;2;478.39849506;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623854;1;1;1;50;;2;728.40981143;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623855;1;1;1;50;;2;623.08967375;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623855;1;2;1;50;;2;623.08967375;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623856;1;1;1;50;;2;507.92371246;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623856;1;2;1;50;;2;507.92371246;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623857;1;1;1;50;;2;596.48667915;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623857;1;2;1;50;;2;596.48667915;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623858;1;1;1;50;;2;620.18102874;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623858;1;2;1;50;;2;620.18102874;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623859;1;1;1;50;;2;507.92371246;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623859;1;2;1;50;;2;507.92371246;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623860;1;1;1;50;;2;478.39849506;08;;1;1;6;DESCANSAR;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623861;1;1;1;50;;2;475.22484995;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623862;1;1;1;50;;2;596.48667915;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623862;1;2;1;50;;2;596.48667915;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623863;1;1;1;50;;2;959.0203119;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623863;1;2;1;50;;2;959.0203119;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623864;1;1;1;50;;2;579.99450827;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623864;1;2;1;50;;2;579.99450827;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623864;1;3;1;50;;2;579.99450827;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623865;1;1;1;50;;2;738.53421293;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623865;1;2;1;50;;2;738.53421293;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623865;1;3;1;50;;2;738.53421293;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623866;1;1;1;50;;2;599.74227604;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623866;1;2;1;50;;2;599.74227604;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623866;1;3;1;50;;2;599.74227604;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623866;1;4;1;50;;2;599.74227604;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623867;1;1;1;50;;2;589.96791918;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623867;1;2;1;50;;2;589.96791918;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623868;1;1;1;50;;2;386.66188326;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623869;1;1;1;50;;2;668.75343624;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623869;1;2;1;50;;2;668.75343624;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623870;1;1;1;50;;2;455.401142;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623870;1;2;1;50;;2;455.401142;08;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623870;1;4;1;50;;2;455.401142;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623871;1;1;1;50;;2;415.20462487;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623871;1;2;1;50;;2;415.20462487;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623871;1;3;1;50;;2;415.20462487;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623872;1;1;1;50;;2;386.66188326;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623873;1;1;1;50;;2;346.47536279;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623873;1;2;1;50;;2;346.47536279;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623874;1;1;1;50;;2;346.47536279;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623874;1;2;1;50;;2;346.47536279;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;9;;;;;;
20260626;06;2026;8623875;1;1;1;50;;2;513.74100247;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623875;1;2;1;50;;2;513.74100247;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623876;1;1;1;50;;2;2200.3582085;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623876;1;2;1;50;;2;2200.3582085;13;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623877;1;1;1;50;;2;1401.9965049;13;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623877;1;2;1;50;;2;1401.9965049;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623877;1;3;1;50;;2;1401.9965049;13;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623878;1;1;1;50;;2;1598.9522198;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623878;1;2;1;50;;2;1598.9522198;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623879;1;1;1;50;;2;1390.8604123;13;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623879;1;2;1;50;;2;1390.8604123;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623879;1;3;1;50;;2;1390.8604123;13;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623879;1;4;1;50;;2;1390.8604123;13;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623880;1;1;1;50;;2;1641.9600953;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623880;1;2;1;50;;2;1641.9600953;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623880;1;3;1;50;;2;1641.9600953;13;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623881;1;1;1;50;;2;1472.4443909;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623881;1;2;1;50;;2;1472.4443909;13;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
