PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250626;06;2025;8238981;1;3;1;60;;2;37.714778906;08;1;145;2;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;16;2;;16;;;2;8;;2;;2;;;;2;2;1;0;2;4;;11;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;3;;1;;01;0145;6121
20250626;06;2025;8238982;1;1;1;60;;2;58.103780292;08;1;113;2;;;;;;;;;;;;180;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1100000;1;13200000;3;;3;2;12;56;;;56;;;1;8;;2;;2;;;;2;2;1;0;18;1;;7;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;;2;5;;1;1100000;01;0113;6111
20250626;06;2025;8238983;1;1;1;60;;2;68.734184551;08;1;8530;1;2;1;;2;4;1;8010;1;2;1;1;4;1;;1;1;1;1;1;2;1900000;2;;1;200000;1;2;;2;;2;;2;;2;;;1;200000;1;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;10;7;;1;;1;1;1;6;1;1;1;0;24;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;3;1;;1;1900000;85;8530;5414
20250626;06;2025;8238983;1;3;1;60;;2;68.734184551;08;1;4921;2;;;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1200000;1;3600000;3;;1;1;3;70;;;70;;;1;4;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;1;1;1;2;2;2;1;2;2;;2;1;2;2;2;2;2;1;14;;;3;;1;1200000;49;4921;8321
20250626;06;2025;8238984;1;2;1;60;;1;2162.2546793;08;1;4111;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;;3;;9;2;12;48;;;48;;;1;9;;5;;2;;;;2;2;1;0;25;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;12;;20;3;;1;600000;41;4111;7112
20250626;06;2025;8238985;1;1;1;60;;1;2387.8240314;08;1;4111;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;4;1;6;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;;3;;1;2;12;48;;;48;;;2;9;;2;;2;;;;2;2;1;0;25;4;;3;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;1;2;2;;1;1;2;2;1;2;2;1;3;;20;3;;1;600000;41;4111;9313
20250626;06;2025;8238986;1;1;1;60;;1;1721.3170321;08;1;9601;2;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;250000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;250000;1;;3;;10;2;12;40;;;40;;;1;2;;2;;2;;;;2;2;1;0;11;3;;1;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;1;1;2;;1;1;2;2;1;2;2;1;3;;25;3;;1;250000;96;9601;9121
20250626;06;2025;8238987;1;1;1;60;;1;465.55320078;70;1;9200;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;4;4;;;1700000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;;3;;1;2;12;44;;;44;;;1;6;;2;;2;;;;2;2;1;0;48;1;;1;;2;;;;;;;;2;;;;1;2;1;2;2;2;1;2;1;2;;2;1;2;2;1;2;1;1;3;;20;3;;1;600000;92;9200;9520
20250626;06;2025;8238988;1;1;1;60;;1;1214.4908137;70;1;4711;1;1;;;1;;1;;2;2;2;2;60;1;;1;1;2;2;1;2;740000;2;;2;;;1;300000;1;200000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;70;;;2;1;;2;;2;;;;2;2;1;0;48;1;;8;;2;;;;;;;;2;;;;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;2;1;2;14;;;8;;1;1240000;47;4711;1420
20250626;06;2025;8238988;1;2;1;60;;1;1214.4908137;70;1;4711;2;;;;;;;;;;;;24;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;10;1;;10;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;1;20;1;1;1;1;1;2;1;2;1;2;1;2;;1;1;2;2;2;2;2;1;14;;;3;;1;;47;4711;5223
