PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250626;06;2025;8238989;1;1;1;60;;1;465.55320078;70;1;4220;1;1;;;1;;2;;2;2;2;2;180;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;2;;;750000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;750000;1;;1;;1;2;12;16;1;;16;;;2;6;;2;;2;;;;2;2;1;0;360;1;;11;;1;8;2652;9007;4;150000;2;2;1;14;1;1;1;2;1;2;1;2;2;2;1;2;;1;1;2;2;2;2;2;1;11;;30;3;;1;900000;42;4220;3113
20250626;06;2025;8238989;1;2;1;60;;1;465.55320078;70;1;6190;2;;;;;;;;;;;;72;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;4;;;700000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;150000;1;;3;;5;2;12;18;2;;18;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;2;1;2;2;2;1;2;2;2;;2;1;2;2;1;2;1;1;14;;;3;;1;150000;61;6190;5221
20250626;06;2025;8238990;1;1;1;60;;1;705.35260476;70;1;9522;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;150000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;130000;1;;1;;1;1;12;30;1;;30;;;1;2;;2;;2;;;;2;2;1;1;60;1;;3;;2;;;;;;;;1;20;2;1;1;1;1;2;1;2;1;1;1;2;;2;1;2;2;2;2;2;1;11;;15;3;;1;130000;95;9522;7412
20250626;06;2025;8238990;1;2;1;60;;1;705.35260476;70;1;9700;1;1;;;1;;2;;2;2;2;2;24;3;;2;2;2;2;1;2;240000;2;;2;;;1;150000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;1;2;;2;;2;;;;2;2;1;3;48;3;;9;;2;;;;;;;;2;;;;1;1;1;1;2;2;2;1;1;2;;2;1;2;2;2;2;1;2;3;;8;3;;1;390000;97;9700;9111
20250626;06;2025;8238991;1;1;1;60;;1;778.96716365;70;1;141;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;250000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;250000;1;;3;;3;2;12;35;2;;35;;;1;8;;2;;2;;;;2;2;1;0;240;6;;2;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;10;;20;3;;1;250000;01;0141;9211
20250626;06;2025;8238992;1;1;1;60;;1;850.7964893;70;1;141;1;1;;;1;;1;;2;2;2;2;360;1;;2;2;2;2;1;2;600000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;45;;;45;;;2;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;25;5;;1;600000;01;0141;1311
20250626;06;2025;8238992;1;3;1;60;;1;850.7964893;70;1;9007;1;1;;;1;;2;;2;2;2;2;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;3;3;3;2;;;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;450000;1;;1;;1;1;12;35;1;;35;;;2;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;1;15;2;1;1;1;1;2;1;2;1;1;1;2;;2;1;2;2;2;2;2;1;11;;15;8;;1;450000;90;9007;2659
20250626;06;2025;8238993;1;1;1;60;;1;990.24504904;70;1;9700;1;1;;;1;;1;;2;2;2;2;36;3;;2;2;2;2;1;2;200000;2;;2;;;1;250000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;30;2;;30;;;1;2;;2;;2;;;;2;2;1;0;60;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;12;;20;9;;1;450000;97;9700;9111
20250626;06;2025;8238993;1;2;1;60;;1;990.24504904;70;1;141;1;1;;;1;;1;;2;2;2;2;6;7;;1;1;2;1;2;2;400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;3;8;;2;;2;;;;2;2;1;0;36;7;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;25;9;;1;400000;01;0141;6121
20250626;06;2025;8238993;1;3;1;60;;1;990.24504904;70;1;141;1;1;;;1;;1;;2;2;2;2;4;7;;1;1;2;1;1;2;400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;20;2;;20;;;2;8;;2;;2;;;;2;2;1;0;60;7;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;30;8;;1;400000;01;0141;6121
20250626;06;2025;8238993;1;4;1;60;;1;990.24504904;70;1;9700;1;1;;;1;;1;;2;2;2;2;12;3;;2;2;2;2;1;2;350000;2;;2;;;1;250000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;36;2;;36;;;1;2;;2;;2;;;;2;2;1;0;12;3;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;15;8;;1;600000;97;9700;9111
20250626;06;2025;8238994;1;1;1;60;;1;1133.9661728;70;1;4921;2;;;;;;;;;;;;220;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;800000;1;;3;;3;1;12;50;;;50;;;1;4;;2;;2;;;;2;2;1;0;12;1;;9;;2;;;;;;;;1;10;1;1;1;1;1;2;1;1;1;1;1;2;;1;1;2;2;2;2;2;1;11;;5;3;;1;800000;49;4921;8321
20250626;06;2025;8238995;1;2;1;60;;1;867.58380236;70;1;1081;1;1;;;1;;2;;2;2;2;2;4;1;;1;1;1;2;1;2;300000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;42;;;42;;;3;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;1;1;1;2;2;2;1;1;2;;2;1;2;2;2;2;1;1;3;;5;8;;1;300000;10;1081;7512
20250626;06;2025;8238996;1;1;1;60;;1;1280.2263265;70;1;4520;1;1;;;1;;1;;2;2;2;2;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;3;3;6;;;0;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;0;1;;3;;3;2;11;56;;;56;;;2;7;;2;;2;;;;2;2;1;1;12;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;5;8;;1;0;45;4520;9122
20250626;06;2025;8238997;1;3;1;60;;1;1326.8546836;70;1;7730;1;1;;;1;;1;;2;2;2;2;12;1;;1;1;2;1;1;2;1300000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;44;;;44;;;4;7;;2;;2;;;;2;2;1;0;120;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;30;3;;1;1300000;77;7730;7233
20250626;06;2025;8238998;1;1;1;60;;1;1169.8945021;70;1;9512;2;;;;;;;;;;;;36;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;1;2000000;1;0;1000000;200000;70000;0;;;;;;;;;;;;;;;;;;1;1;2025;2;;730000;1;;3;;6;2;12;48;;;48;;;1;7;;2;;2;;;;2;2;1;0;48;1;;10;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;5;9;;1;730000;95;9512;7422
